source_db,query_language,title,abstract,doi_clean,year,authors,journal,doc_type,language,uid,found_in_dbs,n_dbs,doc_type_tag,screen_country,screen_country_context,screen_country_weak,screen_concept,screen_pass,screen_pass_strict,exclude_reason
WoS,english,"""Thinking about today and the future"": climate change initiatives in the; capitals of Northeast Brazil","In Brazil, the Northeast region is highly vulnerable to climate change due to its low rates of socioeconomic development. Based on this assumption, we aim to investigate how the capitals of the Brazilian Northeast have internalized the climate issue in their local government agendas, identifying and analyzing the initiatives aimed at tackling climate change at the local level. For this, anchored in a qualitative methodology, we make use of bibliographic survey, as well as analysis of documents and journalistic news, analyzed from the content analysis technique. The analysis and discussion show the local governments' inefficiency to deal with climate change. In summary, we conclude that climate issues are internalized and implemented at different levels in the government agendas of the cities analyzed, with the majority of them presenting low incorporation.",NA,2021,"Teixeira, RLP; da Silva, RA; Fontenelle, AL; dos Santos, YC; Pessoa, ZS",CONFINS-REVUE FRANCO-BRESILIENNE DE GEOGRAPHIE-REVISTA FRANCO-BRASILEIRA; DE GEOGRAFIA,Article,NA,WOS:000723106800006,WoS,1,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,"25 years of multiple stressors driving the coral-algae phase shift in Akumal, Mexico","Interactions between multiple stressors (climate change, pollution, and overfishing) can erode ecological thresholds and trigger a phase shift from a coral-dominated reef state to less desired benthic states. Akumal Reef located in the North of the Mexican Caribbean is an important case study to quantify the ecological changes of coral reefs affected by multiple stressors. Here we used both field data (benthic cover, coral condition, fish biomass), together with satellite data of the main stressors (degree heating weeks, chlorophyll a, and urban area), to (i) reconstruct the timeline of stressors that have affected Akumal Reef from 1995 to 2019; (ii) describe the changes in coral reef components (benthic cover, bleaching, coral diseases, and fish biomass) in this period; and (iii) propose a model integrating coral benthic changes and the significant stressors influencing those changes through time while taking into account stressors interactions and partial effects. Our results show that between 1995 and 2019, hard coral cover suffered an average absolute loss of 84%. This loss contrasted with an average absolute gain in total algae cover of 74% and was negatively associated with an increase of 290% in the urban area. During the study period, there has been no signal of positive recovery in hard coral cover, and increasingly available space has been occupied alternatively by filamentous algae or macroalgae after acute stressor events, such as bleaching or disease, which are more frequent, and persistent in the last decade. Our integrative model highlights interactions between urban area, maximum degree heating weeks, and chlorophyll a as main drivers of hard coral decrease, as well as interactions between urban area and precipitation, related to total algae increase. Akumal Reef degradation trend must be rapidly addressed by implementing management tools integrated into a comprehensive coastal planning model, which must reduce pollution and overfishing, allowing the recovery of its structure and function, and providing persistence of ecosystem services in a context of global changes and ecological ‘surprises’. © 2021 Elsevier Ltd",10.1016/j.ocecoaman.2021.105917,2021,Randazzo-Eisemann Á.; Garza-Pérez J.R.; Penié-Rodriguez I.; Figueroa-Zavala B.,Scopus,Article,NA,2-s2.0-85117745532,Scopus,1,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,A Methodological Framework to Assess the Urban Content in Climate Change Policies; [Valutare il contenuto urbano nelle politiche di adattamento al cambiamento climatico: una proposta metodologica],"By 2050, people in urbanized areas will account for 68% of the world’s population, 80% of which will be concentrated in Asia and Africa. The United Nations Framework Convention on Climate Change (UNFCCC) introduced in 2011 the National Adaptation Plan (NAP) under the Cancun Adaptation Framework (CAF). Countries of the non-Annex I, described by the UN-General Assembly as especially vulnerable to the impacts of climate change, are invited to develop NAPs to identify adaptation challenges and devise appropriate climate adaptation responses. Recognizing the increasing vulnerability of urban systems to the effects of climate change, in 2019, UN-Habitat defined the supplement of the NAP process’s technical guidelines for addressing urban and human settlement issues in NAPs. This paper aims to propose a methodology to assess the urban content of the NAPs after ten years from that the CAF comes into force. The evaluation is based, adapting and expanding, on the methodology used to assess the urban content of Nationally Determined Contributions (NDC) published by UN-Habitat in 2017. The methodology aims to analyse both key adaptation challenges and responses explicitly or implicitly related to urban systems. Moreover, it aims at understanding the interlinkage of urban content in NAP in relation to other key policies, such as NDCs and National Urban Policies (NUPs). In this perspective, 172 indicators were selected and clustered into nine groups: (i) Geographic Indicators; (ii) General Indicators; (iii) NAPs General Indicators; (iv) NAPs Urban Indicators; (v) NDCs Indicators; (vi) NUPs Indicators; (vii) Urban content in National Policies Indicators; (viii) International policy linkages (including SDGs, Sendai Framework for Disaster Risk Reduction, Paris Agreement and New Urban agenda); (ix) National plans/policy/strategies/reports linkages. The methodology was tested on Brazil’s NAP, trying to find general considerations to apply to the countries that officially submitted their NAPs between 2014 to 2020. The test showed that: there is a stronger focus on defining climate adaptation challenges more than responses; climate adaptation challenges and responses are predominantly identified at the national scale, with a focus on policies and strategies at the national level; among the Brazilian NAP, there is “cities strategy”, and it means that the NAP has a high urban content. In conclusion, the paper will highlight critical issues and improvements for each of the nine indices analysed. © 2021, Dei Tipografia del Genio Civile. All rights reserved.",10.48264/vvsiev-20212909,2021,Pizzorni M.; Caldarice O.; Tollin N.,Scopus,Article,NA,2-s2.0-85123272399,Scopus,1,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,A methodology for assessing the impact of climate change on building energy consumption,"Global average surface-air temperatures over land and oceans have been increasing over the past 100 years mainly because of anthropogenic climate change. Cities, due to the concentration of population, economic activities, and built infrastructures, are high-risk and potential damage areas in global warming scenarios. Specific microclimate conditions, which occur in urban areas, are expected to change with almost certainly disadvantageous effects on the energy consumption of buildings and the quality of life at outdoor spaces. Most buildings have a life span of several decades, during which the urban microclimate will continue to change gradually. Building energy simulation (BES) programs are capable of predicting building energy performance in detail in a dynamic model. These models should ensure that new buildings will adapt to future conditions. Nevertheless, the meteorological data used as input, even if it is in situ-measured urban microclimatic data, are generally based on current or past weather conditions and do not attend future scenarios. The objective of this chapter is to present a parameterization of the impact of urban microclimatic conditions on energy performance of buildings in the current situation (2020), and in three tentative future scenarios assuming the microclimatic conditions from RCP 4.5 (2015-2039) and RCP 8.5 in two time lapses (2015-2039 and 2075-2099) from the fifth IPCC report. As application example, a case study in the city of Mendoza, Argentina, is presented. First, the model is run in the BES program EnergyPlus with the current urban microclimatic conditions, calibrated with on-site measured data. Then, the same model is run for microclimatic RCP scenarios. Meteorological conditions are adopted from a predictive mathematical model of the IPCC using EPW files as input. Based on the obtained results, the impact of climate change on urban microclimate and expected changes in energy consumption of buildings during the next century are discussed. © Springer Nature Switzerland AG 2021. All rights reserved.",10.1007/978-3-030-65421-4_17,2021,Karlen C.G.; Barea Paci G.J.,Scopus,Book chapter,NA,2-s2.0-85150738008,Scopus,1,other,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,A raw water security risk model for urban supply based on failure mode analysis,"The provision of raw water to urban supply systems is a global endeavor, and a great challenge to water resource managers of large metropolitan regions. A sustainable supply requires the integrated management of water quantity and quality, as well as the system's adaption to land use and climate changes (e.g., deforestation, droughts). The available water security models inform about the current security status of a system based on the assessment of quantity, quality and adaption indicators. But they barely include risk variables in the analysis, which could help to improve the security assessment considering the historical records of indicators or their future projections. In the present study, a new method is developed that couples a security assessment based on the rating of pressure indicators acting on a watershed, such as water demand, ordinary and accidental contaminants, droughts, and environmental settings (e.g., share of forest cover), with a risk assessment based on pressure properties such as severity, occurrence and detectability. The method is framed in the “Failure Mode and Effects Analysis”, and was applied to the Rio das Velhas system that supplies a portion of Belo Horizonte metropolitan region (Minas Gerais, Brazil) with >4 million inhabitants. The results exposed unacceptable risks for water demand, ordinary contaminants and droughts, because of their high severity and frequency. The water demand risks were explained by data on current (2019) water scarcity and population growth projections (until 2036) that are likely to raise water consumption. The ordinary contaminant risks were deduced from information on current deviations of water quality parameters (e.g., dissolved oxygen, turbidity) from legal thresholds, and records (since 2007) of stream water contamination by untreated domestic effluents. Finally, the drought risks were explained by information on the persistence of stream flows below a legal reference flow, coupled with the identification of many (23) dry years in the available stream flow record (48 years). Overall, the proposed model was efficient in the evaluation of water security risk in the basin. The results obtained for the study area help to act on the required mitigation through prioritization of risk attenuation. Given the simplicity and modest data requirements, the method is helpful to decision makers and suited for replication in other similar regions around the globe. © 2020 Elsevier B.V.",10.1016/j.jhydrol.2020.125843,2021,Carvalho de Melo M.; Formiga-Johnsson R.M.; Soares de Azevedo J.P.; de Oliveira Nascimento N.; Lisboa Vieira Machado F.; Leal Pacheco F.A.; Sanches Fernandes L.F.,Scopus,Article,NA,2-s2.0-85097800699,Scopus,1,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,A sustainable approach for urban farming based on city logistics concepts for local production and consumption of vegetables,"By 2050, there will be at least nine billion people in the world to be fed, and two-thirds of them will live in cities. A before-after assessment of an urban horticulture scenario is presented to address the negative impacts of goods distribution within cities. A baseline scenario for the current food system is compared with the proposed one, adapted to local production and consumption through a case study for Belo Horizonte (Brazil). A Life Cycle Assessment was considered to estimate the potential environmental impact reduction by implementing a local production and consumption model. The Ecoinvent dataset 3.5, exiobase2, and the CML impacts methods were used. The potential of global warming, acidification, photochemical oxidation, and human toxicity was determined for both scenarios. Moreover, fuel, infrastructure, and vehicle consumption concerning the changes among the settings were compared. All categories of environmental impact presented significant reductions regarding the changes among scenarios for the distribution of vegetables. This paper brings a phenomenological contribution to Belo Horizonte's city, which can be considered to subsidize public policy decision-making to support urban agriculture. © 2021 Elsevier Ltd",10.1016/j.retrec.2021.101038,2021,Oliveira R.L.M.D.; Santos I.V.; Graciano G.F.; Cunha Libânio A.A.; Kelli de Oliveira L.; Bracarense L.D.S.F.P.,Scopus,Article,NA,2-s2.0-85101388897,Scopus; WoS,2,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,AWMA 114th Annual Conference and Exhibition,"The proceedings contain 159 papers. The topics discussed include: per-and polyfluoroalkyl substances (PFAS) in the environment: sources, pathways, detection, and exposures; poly-and perfluoroalkyl substances (PFAS) in municipal solid waste; a path forward for particulate matter regulation in the bay area; a survey of Pennsylvania climate change action plans; applying resilience theory to community engagement for climate planning; advances in the evaluation of reactive nitrogen in Mexico City metropolitan area; air dispersion modeling: case studies, issues, applications; automated AERMOD model setup for complicated scenario analyses and case studies; an approach to minimize regulatory burden; and environmental justice: background and uncertainties in siting and permitting.",NA,2021,NA,Scopus,Conference review,NA,2-s2.0-85120576386,Scopus,1,other,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,Adaptation strategies for people: mitigating climate-change-related risks in low-income and informal urban communities through co-production,"Traditional top-down strategies to reduce climate-change-related risks have often failed to produce tangible results in vulnerable urban areas of the Global South. Approaches based on the co-production of adaptation solutions between diverse stakeholders offer promising alternative strategies. This contribution draws on our experiences in growing informal and low-income urban areas in two Latin American cities, Medellín (Colombia) and Puebla (Mexico). These communities lack adequate access to clean water and are exposed to risks related to increasingly frequent high-intensity rainfall events, making water management a key consideration for risk reduction. However, the factors driving insufficient water access and the perceptions of risks vary in each location, demonstrating the need for context-specific solutions. We explore how increasing community agency and co-creating knowledge for risk management between diverse stakeholders at a range of geographical scales can contribute to redressing existing social and environmental injustices, by identifying, implementing, and scaling up technically appropriate and culturally sustainable solutions aimed at reducing climate-change-related risks. © The author(s) 2021.",10.5871/jba/009s9.007,2021,Ferrari S.G.; Kaesehage K.; De Narvaez S.C.; Bain A.A.,Scopus,Article,NA,2-s2.0-85137296996,Scopus,1,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,Adaptive capacity as local sustainable development: Contextualizing and comparing risks and resilience in two chilean regions,"Regional resilience refers to an immanent condition for facing multiple risks on a permanent basis, both episodic and incremental. These risks are not only linked to natural disasters and climate change, but also to poverty and inequality of access to services such as health, and personal safety. This article considers the underlying conditions that shape regional resilience in Chile, based on inter-regional and intra-regional comparisons in the Metropolitan Region of Santiago and the Region of Araucanía. Instead of viewing resilience in terms of an ability to counter a single risk, the article highlights the fact that risks are multiple and overlapping over time and generated at different scales. Municipal level data on poverty, health, and public finances in the two regions reveal the contrasting underlying inequalities that point to regional mosaics of resilience rather than homogeneity. Different threats are superposed on these preexisting conditions of resilience. The article refers to three in particular: the 2010 Chilean earthquake (episodic); climate change (episodic and incremental); and the Covid-19 pandemic (episodic). The findings point to high levels of urban versus rural differentiation, and also high differentiation within the Santiago Metropolitan Area based on socio-economic conditions. This regional mosaic of underlying structural conditions suggests that regional resilience can be enhanced by engaging with structural socio-spatial inequalities rather than a focus on managing risks via siloed, threat-by-threat responses. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/su13094660,2021,Barton J.R.; Gutiérrez-Antinopai F.; Ulloa M.E.,Scopus,Article,NA,2-s2.0-85105362033,Scopus; WoS,2,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,Agricultural and forestry land and labor use under long-term climate change in Chile,"The appropriate design of land-use and rural employment policies depends upon the anticipated performance of the farm sector in the context of expected climate changes, especially with respect to land allocations to potential activities. Concerns over the possible net benefits of land-use changes are particularly acute in lower-and middle-income countries, where agriculture tends to be important in employment, income generation and foreign-exchange earnings. This paper presents an analysis of the expected impacts on land use in Chile of projected climate-change scenarios in 2040 and 2070. We developed a farmland allocation model with associated labor employment at the municipal level driven by expected relative net incomes per hectare, constructed from local average per-hectare yields, regional average output prices and per-hectare production cost estimates. The sensitivities of cropland allocations to relative net-income changes were estimated using historical land allocations at the municipal level derived from the last two Chilean Agricultural Censuses. The results show that the impacts of climate changes will be mitigated by land-use adaptation, the main export-earning crops tending to move south; in aggregate, agricultural employment will decrease in all the climate-change scenarios; forestry and agriculture would likely suffer a loss in net-income generation under severe climate-change scenarios. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",10.3390/atmos12030305,2021,Melo O.; Foster W.,Scopus,Article,NA,2-s2.0-85102621247,Scopus; WoS,2,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
