source_db,query_language,title,abstract,doi_clean,year,authors,journal,doc_type,language,uid,found_in_dbs,n_dbs,doc_type_tag,screen_country,screen_country_context,screen_country_weak,screen_concept,screen_pass,screen_pass_strict,exclude_reason
Scopus,english,A Methodological Framework to Assess the Urban Content in Climate Change Policies; [Valutare il contenuto urbano nelle politiche di adattamento al cambiamento climatico: una proposta metodologica],"By 2050, people in urbanized areas will account for 68% of the world’s population, 80% of which will be concentrated in Asia and Africa. The United Nations Framework Convention on Climate Change (UNFCCC) introduced in 2011 the National Adaptation Plan (NAP) under the Cancun Adaptation Framework (CAF). Countries of the non-Annex I, described by the UN-General Assembly as especially vulnerable to the impacts of climate change, are invited to develop NAPs to identify adaptation challenges and devise appropriate climate adaptation responses. Recognizing the increasing vulnerability of urban systems to the effects of climate change, in 2019, UN-Habitat defined the supplement of the NAP process’s technical guidelines for addressing urban and human settlement issues in NAPs. This paper aims to propose a methodology to assess the urban content of the NAPs after ten years from that the CAF comes into force. The evaluation is based, adapting and expanding, on the methodology used to assess the urban content of Nationally Determined Contributions (NDC) published by UN-Habitat in 2017. The methodology aims to analyse both key adaptation challenges and responses explicitly or implicitly related to urban systems. Moreover, it aims at understanding the interlinkage of urban content in NAP in relation to other key policies, such as NDCs and National Urban Policies (NUPs). In this perspective, 172 indicators were selected and clustered into nine groups: (i) Geographic Indicators; (ii) General Indicators; (iii) NAPs General Indicators; (iv) NAPs Urban Indicators; (v) NDCs Indicators; (vi) NUPs Indicators; (vii) Urban content in National Policies Indicators; (viii) International policy linkages (including SDGs, Sendai Framework for Disaster Risk Reduction, Paris Agreement and New Urban agenda); (ix) National plans/policy/strategies/reports linkages. The methodology was tested on Brazil’s NAP, trying to find general considerations to apply to the countries that officially submitted their NAPs between 2014 to 2020. The test showed that: there is a stronger focus on defining climate adaptation challenges more than responses; climate adaptation challenges and responses are predominantly identified at the national scale, with a focus on policies and strategies at the national level; among the Brazilian NAP, there is “cities strategy”, and it means that the NAP has a high urban content. In conclusion, the paper will highlight critical issues and improvements for each of the nine indices analysed. © 2021, Dei Tipografia del Genio Civile. All rights reserved.",10.48264/vvsiev-20212909,2021,Pizzorni M.; Caldarice O.; Tollin N.,Scopus,Article,NA,2-s2.0-85123272399,Scopus,1,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,A methodology for assessing the impact of climate change on building energy consumption,"Global average surface-air temperatures over land and oceans have been increasing over the past 100 years mainly because of anthropogenic climate change. Cities, due to the concentration of population, economic activities, and built infrastructures, are high-risk and potential damage areas in global warming scenarios. Specific microclimate conditions, which occur in urban areas, are expected to change with almost certainly disadvantageous effects on the energy consumption of buildings and the quality of life at outdoor spaces. Most buildings have a life span of several decades, during which the urban microclimate will continue to change gradually. Building energy simulation (BES) programs are capable of predicting building energy performance in detail in a dynamic model. These models should ensure that new buildings will adapt to future conditions. Nevertheless, the meteorological data used as input, even if it is in situ-measured urban microclimatic data, are generally based on current or past weather conditions and do not attend future scenarios. The objective of this chapter is to present a parameterization of the impact of urban microclimatic conditions on energy performance of buildings in the current situation (2020), and in three tentative future scenarios assuming the microclimatic conditions from RCP 4.5 (2015-2039) and RCP 8.5 in two time lapses (2015-2039 and 2075-2099) from the fifth IPCC report. As application example, a case study in the city of Mendoza, Argentina, is presented. First, the model is run in the BES program EnergyPlus with the current urban microclimatic conditions, calibrated with on-site measured data. Then, the same model is run for microclimatic RCP scenarios. Meteorological conditions are adopted from a predictive mathematical model of the IPCC using EPW files as input. Based on the obtained results, the impact of climate change on urban microclimate and expected changes in energy consumption of buildings during the next century are discussed. © Springer Nature Switzerland AG 2021. All rights reserved.",10.1007/978-3-030-65421-4_17,2021,Karlen C.G.; Barea Paci G.J.,Scopus,Book chapter,NA,2-s2.0-85150738008,Scopus,1,other,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,"Air Pollutants in an Intermediate City: Variability and Interactions with Weather and Anthropogenic Elements in Bahía Blanca, Argentina","We analyzed the temporal variability of air pollutants in Bahía Blanca and their relationship with anthropogenic elements and weather conditions in the urban atmosphere for the period 2010–2017. We used public access official data of pollutants (CO, NOX, SO2, O3 and PM10) and weather elements. Pollutants were analyzed considering air quality regulations, human activity cycles, and atmospheric processes and weather elements at different scales. The obtained results highlight the relation between air pollutants and climate processes at zonal, regional and local scales. The analysis included the study of foreign sources of pollution, such as volcanic eruptions with global effects, which affect the urban air quality related to zonal atmospheric circulation (westerly winds). The study underlines the interest for South America of the strong winds and dust storms related with high PM10 concentrations. Dust storms are associated with droughts, wind erosion processes and soil desertification, a problem linked to the global climate change process and unsustainable policies for the use and management of soils. For all this, the paper underlines the multicausality or air pollution in urban atmospheres and highlights the importance of comprehensive solutions in terms of sustainable development, mitigation policies and adaptation to global climate change. Highlights • Air pollution is linked with atmospheric processes and human activities. • Zonal, regional and local climate processes influence air quality. • Lithometeors affect the concentration of pollutants in the city. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG part of Springer Nature.",10.1007/s40710-021-00502-6,2021,Fernández M.E.; Gentili J.O.; Campo A.M.,Scopus,Article,NA,2-s2.0-85100784480,Scopus; WoS,2,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
WoS,english,Air-conditioning and the adaptation cooling deficit in emerging; economies,"Increasing temperatures will make space cooling a necessity for maintain comfort and protecting human health, and rising income levels will allow more people to purchase and run air conditioners. Here we show that, in Brazil, India, Indonesia, and Mexico income and humidity-adjusted temperature are common determinants for adopting air-conditioning, but their relative contribution varies in relation to household characteristics. Adoption rates are higher among households living in higher quality dwellings in urban areas, and among those with higher levels of education. Air-conditioning is unevenly distributed across income levels, making evident the existence of a disparity in access to cooling devices. Although the adoption of air-conditioning could increase between twofold and sixteen-fold by 2040, from 64 to 100 million families with access to electricity will not be able to adequately satisfy their demand for thermal comfort. The need to sustain electricity expenditure in response to higher temperatures can also create unequal opportunities to adapt.; Adaptation to heat stress through the use of air conditioners has received increasing attention. Here the authors show that income and humidity adjusted temperature are common determinants for adopting air conditioning, but their relative contribution varies in relation to household characteristics.",10.1038/s41467-021-26592-2,2021,"Pavanello, F; De Cian, E; Davide, M; Mistry, M; Cruz, T; Bezerra, P; Jagu, D; Renner, S; Schaeffer, R; Lucena, AFP",NATURE COMMUNICATIONS,Article,NA,WOS:000716589100001,WoS,1,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,Analyzing water policy impacts on vulnerability: Cases across the rural-urban continuum in the arid Americas,"Climate change is posing emerging threats to people and the environment, particularly in arid regions. However, some groups are more vulnerable than others, depending on their levels of exposure, sensitivity and adaptive capacity, which are determined by climatic and non-climatic factors. In water-scarce environments, water policies become key non-climatic factors that affect vulnerability yet enable modifications if their impacts unintentionally exacerbate vulnerability. Therefore, it is necessary to analyze the impacts of water policies on vulnerability, particularly for disadvantaged groups. In this paper, we analyze four cases in the arid Americas that illustrate an array of challenges at different scales and across the rural-urban continuum: (1) irrigated oases in Mendoza, Argentina, where groundwater and surface water management are disconnected; (2) rural communities in central Sonora, Mexico, where local water rights have been transferred to large scale mining; (3) peri-urban marginalized neighborhoods in Hermosillo, Mexico, where competition for water is driving changes in land use; and (4) underserved communities in Tucson, Arizona, USA who are left behind in a rainwater harvesting movement. Our analysis shows that water policies in arid regions interact with land and neoliberal policies between sectors across different scales, exacerbating vulnerabilities disproportionately in less privileged groups and enhancing disparities. Here, we offer recommendations for more inclusive policymaking processes that can build capacity, protect the livelihoods of disadvantaged groups, and reduce their vulnerability to climate change. © 2020",10.1016/j.envdev.2020.100552,2021,Zuniga-Teran A.A.; Mussetta P.C.; Lutz Ley A.N.; Díaz-Caravantes R.E.; Gerlak A.K.,Scopus,Article,NA,2-s2.0-85089585429,Scopus; WoS,2,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,"Assessing Future Resilience, Equity, and Sustainability in Scenario Planning","In the absence of strong international agreements, many municipal governments are leading efforts to build resilience to climate change in general and to extreme weather events in particular. However, it is notoriously difficult to guide and activate processes of change in complex adaptive systems such as cities. Participatory scenario planning with city professionals and members of civil society provides an opportunity to coproduce positive visions of the future. Yet, not all visions are created equal. In this chapter, we introduce the Resilience, Equity, and Sustainability Qualitative (RESQ) assessment tool that we have applied to compare positive scenario visions for cities in the USA and Latin America. We use the tool to examine the visions of the two desert cities in the Urban Resilience to Extreme Events Sustainability Research Network (UREx SRN), which are Hermosillo (Mexico) and Phoenix (United States). © 2021, This is a U.S. government work and not under copyright protection in the U.S.; foreign copyright protection may apply.",10.1007/978-3-030-63131-4_8,2021,Berbés-Blázquez M.; Grimm N.B.; Cook E.M.; Iwaniec D.M.; Muñoz-Erickson T.A.; Hobbins V.; Wahl D.,Scopus,Book chapter,NA,2-s2.0-85103924869,Scopus,1,other,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,Biophilic Institutions and Governance: Biophilic Urbanism Initiatives (BUIs) Fostering Green Urban Features in Emerging and Developing Cities,"One of the goals promoted by the ‘2030 Agenda for Sustainable Development’ is to make cities more inclusive, safe, resilient, and sustainable, responding to the challenges that cities face today, including the increase of urban temperature because of climate change effects, and the deficit of urban green spaces. Within this context, green urbanism aims to create more sustainable cities in terms of greenness, compactness, energy efficiency, zero emissions, and waste production, having as a result sustainable places, communities, and lifestyles. The approach arises to address some of the challenges mentioned above, through seven features expressed in emerging archetypal cities, where the ‘biophilic city’ is one of them. Biophilic cities are the materialization of the biophilic urbanism approach, which pursues the strategic integration of nature in cities through planning and design to achieve more livable cities in terms of the well-being and health of their inhabitants, as well as the creation of resilient urban environments. Firstly, this research compiled initiatives performed under the biophilic urbanism, defined here as biophilic urbanism initiatives (BUIs), where the main differences in its implementation can be traced back to income differences between countries. Secondly, it presents opportunities, as well as challenges for greening emerging and developing cities, based on one of the five categories of indicators associated with biophilic cities, ‘biophilic institutions and governance.’ The indicators comprising this group aim to describe the extent to which local governments are involved in encouraging green features and biophilic design. Finally, this research draws contributions already implemented by a group of Latin American cities located in Argentina, Chile, Colombia, and Peru. One of our main findings is that these initiatives have not yet been widely implemented in emerging and developing countries, compared with advanced economies, such as the USA, Germany, and Singapore, among others. © 2021, The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-030-65181-7_29,2021,Carter V.; Henríquez C.,Scopus,Book chapter,NA,2-s2.0-85097096533,Scopus,1,other,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,Built Environment Resilience to Face Climate Change Effects In Paraguay’s Social Housing,"Currently, the implementation of measures to improve buildings energy efficiency beyond being an opportunity to improve their thermal performance is a strategy of mitigation and adaptation to climate change effects. This paper aims to evaluate different thermal envelope constructive solutions of a type of social housing that is used in Paraguay to improve its energy efficiency and thermal performance. Two options for the roofs and three options for the walls were evaluated. Finally, the best roof option with the best wall option was assessed. A total of six different options were considered. For the original state of the dwelling, the results of the energy dynamic simulations revealed very high annual thermal discomfort rates. With the changes introduced, significant improvements were achieved, reducing considerably the annual overheating rates, improving the quality of life and the social housing inhabitants’ resilience facing climate changes. © 2021, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",10.1007/978-981-15-8783-2_18,2021,Silvero F.; Goiris M.; Montelpare S.; Rodrigues F.,Scopus,Conference paper,NA,2-s2.0-85098219107,Scopus,1,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
WoS,english,Capturing and analysing heterogeneity in residential greywater reuse; preferences using a latent class model,"To legally permit greywater reuse as a management strategy, it is necessary to establish allowed uses, as well as guarantee legitimacy, safety and maintain public trust. Cities with previous experience in greywater reuse have reconfigured their regulations according to their own evidence with decentralized water reuse systems. This has allowed them to encourage or restrict certain indoor uses of treated greywater. However, cities starting to use these residential schemes lack the experience to reconfigure their water and sanitation regulation, and thus need ""blindly"" decide on the type of greywater uses to allow in order to achieve a balance between users' acceptability and avoiding public health problems.; In this research, we analyse hypothetical situations of greywater reuse based on real evidence related to decentralized water systems. The main objective of this study is to evaluate the heterogeneity of individuals' preferences regarding residential greywater reuse for six intended indoor uses, using stated choice experiments and a latent class model. Hence, we obtain preliminary evidence about the direction that the regulation or pilot tests should take. We use the context of Santiago (Chile) as a reference, where although allowed, greywater reuse is not taking place widely. Our results show that survey respondents can be classified into four classes (enthusiasts, greywater sceptics, appearance conscious and water expenditure conscious), according to the preferences for the different types of indoor greywater reuse and the appearance of the treated greywater. From a policy perspective, our results show differences across classes as a function of socioeconomic characteristics and previous greywater reuse knowledge, as well as wider household characteristics, including the presence of sensitive individuals (under 15 and over 74 years old), number of residents, number of sanitary devices, and location and type of garden.",10.1016/j.jenvman.2020.111673,2021,"Amaris, G; Gironás, J; Hess, S; Ortúzar, JD",JOURNAL OF ENVIRONMENTAL MANAGEMENT,Article,NA,WOS:000608232900006,WoS,1,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,Climate change in the built environment: Addressing future climates in buildings,"Despite a growing awareness of climate change, there is little evidence that this is being addressed in cities and built environments. Events such as flooding in Houston, USA; landslides in Free Town, Sierra Leone; and water shortages in La Paz, Bolivia and Cape Town in South Africa demonstrate that it is increasingly important that climate change is understood and addressed in built environments to ensure that they become more resilient. This chapter introduces climate change and outlines the implications of this for built environments. It describes measures that can be incorporated into built environments to enable them to adapt to projected climate changes. Understanding climate change and preparing for this by developing built environments that are more resilient will be an increasingly valuable and important skill. Reading this chapter will support the development and refinement of skills and knowledge in this area and it is an essential reference for built environment students and practitioners. © 2021 by IGI Global. All rights reserved.",10.4018/978-1-7998-9032-4.ch008,2021,Gibberd J.T.,Scopus,Book chapter,NA,2-s2.0-85125156278,Scopus,1,other,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
