source_db,query_language,title,abstract,doi_clean,year,authors,journal,doc_type,language,uid,found_in_dbs,n_dbs,doc_type_tag,screen_country,screen_country_context,screen_country_weak,screen_concept,screen_pass,screen_pass_strict,exclude_reason
WoS,english,"""Thinking about today and the future"": climate change initiatives in the; capitals of Northeast Brazil","In Brazil, the Northeast region is highly vulnerable to climate change due to its low rates of socioeconomic development. Based on this assumption, we aim to investigate how the capitals of the Brazilian Northeast have internalized the climate issue in their local government agendas, identifying and analyzing the initiatives aimed at tackling climate change at the local level. For this, anchored in a qualitative methodology, we make use of bibliographic survey, as well as analysis of documents and journalistic news, analyzed from the content analysis technique. The analysis and discussion show the local governments' inefficiency to deal with climate change. In summary, we conclude that climate issues are internalized and implemented at different levels in the government agendas of the cities analyzed, with the majority of them presenting low incorporation.",NA,2021,"Teixeira, RLP; da Silva, RA; Fontenelle, AL; dos Santos, YC; Pessoa, ZS",CONFINS-REVUE FRANCO-BRESILIENNE DE GEOGRAPHIE-REVISTA FRANCO-BRASILEIRA; DE GEOGRAFIA,Article,NA,WOS:000723106800006,WoS,1,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
Scopus,english,20-years cumulative impact from shrimp farming on mangroves of northeast brazil,"Brazilian mangroves cover about 11,100 km2 and provide a wide range of ecosystem services. Despite their importance, they are one of the most impacted ecosystems because of combined influences of climate change, pollution, and direct conversion and loss. A major driver of environmental impacts is shrimp farming and this is particularly acute in the semi-arid northeast of Brazil, where mangroves are constrained in a narrow band along ephemeral estuaries that are often impacted by multi-year droughts. Recent changes to Brazilian law, in particular the Forest Code, have weakened protection for mangroves and associated “apicum” (salt pan) ecosystems. In NE Brazil, most shrimp ponds are converted from mangrove-adjacent “apicuns” rather than the mangroves themselves with periodic hydrological connectivity through dammed channels, allowing the flushing of effluents. As a result, the main impacts on mangroves are typically indirect, because of pollution inputs from shrimp pond effluents and associated loss of ecosystem services including reductions in primary productivity, carbon storage capacity, resilience to other environmental stressors, their efficiency as estuarine filters, and biodiversity and abundance of subsistence use of marine species. Soil damage and infrastructure remaining after shrimp pond deactivation impairs mangrove recovery. This extends the duration of the damage and allows the occupation of degraded areas by other activities that can permanently impair ecosystem function. In this review, we address several aspects of the shrimp culture boom in NE Brazilian, their features and consequences, and the future of mangroves in the region considering climate change and rising poverty. Our conclusions on the practices and outcomes of shrimp farming in mangroves are likely to apply to areas with similar environmental settings, e.g., semiarid regions worldwide, and particularly in the Latin America and Caribbean region, and our findings can be taken into account to improve conservation and management of these forests at the least to a regional scale. © 2021 de Lacerda, Ward, Godoy, de Andrade Meireles, Borges and Ferreira.",10.3389/ffgc.2021.653096,2021,de Lacerda L.D.; Ward R.D.; Godoy M.D.P.; Meireles A.J.A.; Borges R.; Ferreira A.C.,Scopus,Review,NA,2-s2.0-85105560132,Scopus,1,review,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,"25 years of multiple stressors driving the coral-algae phase shift in Akumal, Mexico","Interactions between multiple stressors (climate change, pollution, and overfishing) can erode ecological thresholds and trigger a phase shift from a coral-dominated reef state to less desired benthic states. Akumal Reef located in the North of the Mexican Caribbean is an important case study to quantify the ecological changes of coral reefs affected by multiple stressors. Here we used both field data (benthic cover, coral condition, fish biomass), together with satellite data of the main stressors (degree heating weeks, chlorophyll a, and urban area), to (i) reconstruct the timeline of stressors that have affected Akumal Reef from 1995 to 2019; (ii) describe the changes in coral reef components (benthic cover, bleaching, coral diseases, and fish biomass) in this period; and (iii) propose a model integrating coral benthic changes and the significant stressors influencing those changes through time while taking into account stressors interactions and partial effects. Our results show that between 1995 and 2019, hard coral cover suffered an average absolute loss of 84%. This loss contrasted with an average absolute gain in total algae cover of 74% and was negatively associated with an increase of 290% in the urban area. During the study period, there has been no signal of positive recovery in hard coral cover, and increasingly available space has been occupied alternatively by filamentous algae or macroalgae after acute stressor events, such as bleaching or disease, which are more frequent, and persistent in the last decade. Our integrative model highlights interactions between urban area, maximum degree heating weeks, and chlorophyll a as main drivers of hard coral decrease, as well as interactions between urban area and precipitation, related to total algae increase. Akumal Reef degradation trend must be rapidly addressed by implementing management tools integrated into a comprehensive coastal planning model, which must reduce pollution and overfishing, allowing the recovery of its structure and function, and providing persistence of ecosystem services in a context of global changes and ecological ‘surprises’. © 2021 Elsevier Ltd",10.1016/j.ocecoaman.2021.105917,2021,Randazzo-Eisemann Á.; Garza-Pérez J.R.; Penié-Rodriguez I.; Figueroa-Zavala B.,Scopus,Article,NA,2-s2.0-85117745532,Scopus,1,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
WoS,english,"A MODIS-based scalable remote sensing method to estimate sowing and; harvest dates of soybean crops in Mato Grosso, Brazil","Large-scale agriculture in the state of Mato Grosso, Brazil is a major contributor to global food supplies, but its continued productivity is vulnerable to contracting wet seasons and increased exposure to extreme temperatures. Sowing dates serve as an effective adaptation strategy to these climate perturbations. By controlling the weather experienced by crops and influencing the number of successive crops that can be grown in a year, sowing dates can impact both individual crop yields and cropping intensities. Unfortunately, the spatiotemporally resolved crop phenology data necessary to understand sowing dates and their relationship to crop yield are only available over limited years and regions. To fill this data gap, we produce a 500 m rainfed soy (Glycine max) sowing and harvest date dataset for Mato Grosso from 2004 to 2014 using a novel time series analysis method for Moderate Resolution Imaging Spectroradiometer (MODIS) satellite imagery, adapted for implementation in Google Earth Engine (GEE). Our estimates reveal that soy sowing and harvest dates varied widely (about 2 months) from field to field, confirming the need for spatially resolved crop timing information. An interannual trend toward earlier sowing dates occurred independently of variations in wet season onset, and may be attributed to an improvement in logistic or economic constraints that previously hampered early sowing. As anticipated, double cropped fields in which two crops are grown in succession are planted earlier than single cropped fields. This difference shrank, however, as sowing of single cropped fields occurred closer to the wet season onset in more recent years. The analysis offers insights about sowing behavior in response to historical climate variations which could be extended to understand sowing response under climate change in Mato Grosso.",10.1016/j.heliyon.2021.e07436,2021,"Zhang, MH; Abrahao, G; Cohn, A; Campolo, J; Thompson, S",HELIYON,Article,NA,WOS:000687265300012,WoS,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,A Methodological Framework to Assess the Urban Content in Climate Change Policies; [Valutare il contenuto urbano nelle politiche di adattamento al cambiamento climatico: una proposta metodologica],"By 2050, people in urbanized areas will account for 68% of the world’s population, 80% of which will be concentrated in Asia and Africa. The United Nations Framework Convention on Climate Change (UNFCCC) introduced in 2011 the National Adaptation Plan (NAP) under the Cancun Adaptation Framework (CAF). Countries of the non-Annex I, described by the UN-General Assembly as especially vulnerable to the impacts of climate change, are invited to develop NAPs to identify adaptation challenges and devise appropriate climate adaptation responses. Recognizing the increasing vulnerability of urban systems to the effects of climate change, in 2019, UN-Habitat defined the supplement of the NAP process’s technical guidelines for addressing urban and human settlement issues in NAPs. This paper aims to propose a methodology to assess the urban content of the NAPs after ten years from that the CAF comes into force. The evaluation is based, adapting and expanding, on the methodology used to assess the urban content of Nationally Determined Contributions (NDC) published by UN-Habitat in 2017. The methodology aims to analyse both key adaptation challenges and responses explicitly or implicitly related to urban systems. Moreover, it aims at understanding the interlinkage of urban content in NAP in relation to other key policies, such as NDCs and National Urban Policies (NUPs). In this perspective, 172 indicators were selected and clustered into nine groups: (i) Geographic Indicators; (ii) General Indicators; (iii) NAPs General Indicators; (iv) NAPs Urban Indicators; (v) NDCs Indicators; (vi) NUPs Indicators; (vii) Urban content in National Policies Indicators; (viii) International policy linkages (including SDGs, Sendai Framework for Disaster Risk Reduction, Paris Agreement and New Urban agenda); (ix) National plans/policy/strategies/reports linkages. The methodology was tested on Brazil’s NAP, trying to find general considerations to apply to the countries that officially submitted their NAPs between 2014 to 2020. The test showed that: there is a stronger focus on defining climate adaptation challenges more than responses; climate adaptation challenges and responses are predominantly identified at the national scale, with a focus on policies and strategies at the national level; among the Brazilian NAP, there is “cities strategy”, and it means that the NAP has a high urban content. In conclusion, the paper will highlight critical issues and improvements for each of the nine indices analysed. © 2021, Dei Tipografia del Genio Civile. All rights reserved.",10.48264/vvsiev-20212909,2021,Pizzorni M.; Caldarice O.; Tollin N.,Scopus,Article,NA,2-s2.0-85123272399,Scopus,1,research_paper,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
Scopus,english,"A Systems Approach to Ecotourism, Leisure and Education in Panamá: A Case Study","Batipa Field Institute (BFI) is the 2000 ha multifunctional farm of Oteima Technological University (OTU), which is nestled within the forested hills of the Batipa peninsula in Chiriquí, the western province of Panamá. Since 2014, BFI has been striving to become a hub and a destination for ecotourism in the country. The purpose of this work was two-fold: (1) Demonstrate how a coexistence of farming and habitat preservation in a tropical environment benefits agriculture and makes the latter resilient to the challenges posed by global climate change, and (2) Present the experience gained by Oteima Technological University and Batipa Field Institute in serving students to develop knowledge, skills and values about stewardship and conservation through residential, study experiences at the farm. The first objective considered how biodiversity benefitted cattle raising and teak tree (Tectona grandis) cultivation, whereas the second objective evaluated how the ecotourism programs designed by Oteima Technological University (OTU) at BFI can integrate farming with ecology, leisure and sustainable living, and thus contribute to transformative learning. Leisure and ecological learning are embedded in the education philosophy at OTU, whereas BFI remains the ‘ad-hoc’ site for enhancing an understanding of sustainability among students, while strengthening teamwork and community living, in a distinctive, tropical agroecosystem. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-030-59820-4_17,2021,Borsari B.; Garrido F.U.; González E.,Scopus,Book chapter,NA,2-s2.0-85101144357,Scopus,1,other,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,A Transdisciplinary Framework for AI-driven Disaster Risk Reduction for Low-income Housing Communities in Kenya,"In the past 50 years, natural disasters worldwide have accounted for 2.06 million deaths and US$3640 billion in economic losses. These natural disasters are heavily influenced by the composite earth system processes and human interactions. In this paper, we focus our investigation to assess the impact of flooding in rivers and coastal regions and its impact on low-income communities. For this purpose, a transdisciplinary perspective from Artificial Intelligence (AI), Climate science, Socio-economics discipline is leveraged to map and identify their inter-relationships and challenges using Soft System Methodology (SSM). A transdisciplinary framework, named ADRELO1 Disaster Support System (ADSS), is therefore proposed to (1) identify the key parameters that can influence climate change, (2) stitch together a reusable multilayered transdisciplinary knowledge model, and (3) apply the observed multivariant data to AI-based algorithm to forecast climate change, analyze the impact of climate change on socio-economic outcomes and suggest potential disaster risk reduction actions. Research-based outcomes, from the given framework, will be used for policy prescription towards making flood-affected local communities self-resilient. ADSS will be applied first in a flood-prone region, such as Nyando in Kenya and Mozambique. It will then be extrapolated in other coastal regions of Florida and North-eastern Brazil to examine the applicability of the framework.  © 2021 IEEE.",10.1109/smc52423.2021.9658957,2021,Triboan D.; Obonyo E.A.; Ayesh A.; Yerima S.Y.; Basak B.; Wang'Ombe W.; Olago D.; Olaka L.A.; Sznajder K.K.; Madivate C.,Scopus,Conference paper,NA,2-s2.0-85124253737,Scopus,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,A methodology for assessing the impact of climate change on building energy consumption,"Global average surface-air temperatures over land and oceans have been increasing over the past 100 years mainly because of anthropogenic climate change. Cities, due to the concentration of population, economic activities, and built infrastructures, are high-risk and potential damage areas in global warming scenarios. Specific microclimate conditions, which occur in urban areas, are expected to change with almost certainly disadvantageous effects on the energy consumption of buildings and the quality of life at outdoor spaces. Most buildings have a life span of several decades, during which the urban microclimate will continue to change gradually. Building energy simulation (BES) programs are capable of predicting building energy performance in detail in a dynamic model. These models should ensure that new buildings will adapt to future conditions. Nevertheless, the meteorological data used as input, even if it is in situ-measured urban microclimatic data, are generally based on current or past weather conditions and do not attend future scenarios. The objective of this chapter is to present a parameterization of the impact of urban microclimatic conditions on energy performance of buildings in the current situation (2020), and in three tentative future scenarios assuming the microclimatic conditions from RCP 4.5 (2015-2039) and RCP 8.5 in two time lapses (2015-2039 and 2075-2099) from the fifth IPCC report. As application example, a case study in the city of Mendoza, Argentina, is presented. First, the model is run in the BES program EnergyPlus with the current urban microclimatic conditions, calibrated with on-site measured data. Then, the same model is run for microclimatic RCP scenarios. Meteorological conditions are adopted from a predictive mathematical model of the IPCC using EPW files as input. Based on the obtained results, the impact of climate change on urban microclimate and expected changes in energy consumption of buildings during the next century are discussed. © Springer Nature Switzerland AG 2021. All rights reserved.",10.1007/978-3-030-65421-4_17,2021,Karlen C.G.; Barea Paci G.J.,Scopus,Book chapter,NA,2-s2.0-85150738008,Scopus,1,other,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA
WoS,english,A multi-taxonomic framework for assessing relative petrochemical; vulnerability of marine biodiversity in the Gulf of Mexico,"A fundamental understanding of the impact of petrochemicals and other stressors on marine biodiversity is critical for effective management, restoration, recovery, and mitigation initiatives. As species-specific information on levels of petrochemical exposure and toxicological response are lacking for the majority of marine species, a trait-based assessment to rank species vulnerabilities to petrochemical activities in the Gulf of Mexico can provide a more comprehensive and effective means to prioritize species, habitats, and ecosystems for improved management, restoration and recovery. To initiate and standardize this process, we developed a trait-based framework, applicable to a wide range of vertebrate and invertebrate species, that can be used to rank relative population vulnerabilities of species to petrochemical activities in the Gulf of Mexico. Through expert consultation, 18 traits related to likelihood of exposure, individual sensitivity, and population resilience were identified and defined. The resulting multi-taxonomic petrochemical vulnerability framework can be adapted and applied to a wide variety of species groups and geographic regions. Additional recommendations and guidance on the application of the framework to rank species vulnerabilities under specific petrochemical exposure scenarios, management needs or data limitations are also discussed. (C) 2020 Elsevier B.V. All rights reserved.",10.1016/j.scitotenv.2020.142986,2021,"Polidoro, B; Matson, CW; Ottinger, MA; Renegar, DA; Romero, IC; Schlenk, D; Wise, JP; González, JB; Bruns, P; Carpenter, K; Rojas, DC; Collier, TK; Duda, TF; González-Díaz, P; Di Giulio, R; Grubbs, RD; Haney, JC; Incardona, JP; Horta-Puga, G; Linardich, C; Moore, JA; Pech, D; Valderrama, SP; Ralph, GM; Strongin, K; Ringwood, AH; Würsig, B",SCIENCE OF THE TOTAL ENVIRONMENT,Article,NA,WOS:000608188700049,WoS,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,A raw water security risk model for urban supply based on failure mode analysis,"The provision of raw water to urban supply systems is a global endeavor, and a great challenge to water resource managers of large metropolitan regions. A sustainable supply requires the integrated management of water quantity and quality, as well as the system's adaption to land use and climate changes (e.g., deforestation, droughts). The available water security models inform about the current security status of a system based on the assessment of quantity, quality and adaption indicators. But they barely include risk variables in the analysis, which could help to improve the security assessment considering the historical records of indicators or their future projections. In the present study, a new method is developed that couples a security assessment based on the rating of pressure indicators acting on a watershed, such as water demand, ordinary and accidental contaminants, droughts, and environmental settings (e.g., share of forest cover), with a risk assessment based on pressure properties such as severity, occurrence and detectability. The method is framed in the “Failure Mode and Effects Analysis”, and was applied to the Rio das Velhas system that supplies a portion of Belo Horizonte metropolitan region (Minas Gerais, Brazil) with >4 million inhabitants. The results exposed unacceptable risks for water demand, ordinary contaminants and droughts, because of their high severity and frequency. The water demand risks were explained by data on current (2019) water scarcity and population growth projections (until 2036) that are likely to raise water consumption. The ordinary contaminant risks were deduced from information on current deviations of water quality parameters (e.g., dissolved oxygen, turbidity) from legal thresholds, and records (since 2007) of stream water contamination by untreated domestic effluents. Finally, the drought risks were explained by information on the persistence of stream flows below a legal reference flow, coupled with the identification of many (23) dry years in the available stream flow record (48 years). Overall, the proposed model was efficient in the evaluation of water security risk in the basin. The results obtained for the study area help to act on the required mitigation through prioritization of risk attenuation. Given the simplicity and modest data requirements, the method is helpful to decision makers and suited for replication in other similar regions around the globe. © 2020 Elsevier B.V.",10.1016/j.jhydrol.2020.125843,2021,Carvalho de Melo M.; Formiga-Johnsson R.M.; Soares de Azevedo J.P.; de Oliveira Nascimento N.; Lisboa Vieira Machado F.; Leal Pacheco F.A.; Sanches Fernandes L.F.,Scopus,Article,NA,2-s2.0-85097800699,Scopus,1,research_paper,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA
