source_db,query_language,title,abstract,doi_clean,year,authors,journal,doc_type,language,uid,found_in_dbs,n_dbs,doc_type_tag,screen_country,screen_country_context,screen_country_weak,screen_concept,screen_pass,screen_pass_strict,exclude_reason
Scopus,english,20-years cumulative impact from shrimp farming on mangroves of northeast brazil,"Brazilian mangroves cover about 11,100 km2 and provide a wide range of ecosystem services. Despite their importance, they are one of the most impacted ecosystems because of combined influences of climate change, pollution, and direct conversion and loss. A major driver of environmental impacts is shrimp farming and this is particularly acute in the semi-arid northeast of Brazil, where mangroves are constrained in a narrow band along ephemeral estuaries that are often impacted by multi-year droughts. Recent changes to Brazilian law, in particular the Forest Code, have weakened protection for mangroves and associated “apicum” (salt pan) ecosystems. In NE Brazil, most shrimp ponds are converted from mangrove-adjacent “apicuns” rather than the mangroves themselves with periodic hydrological connectivity through dammed channels, allowing the flushing of effluents. As a result, the main impacts on mangroves are typically indirect, because of pollution inputs from shrimp pond effluents and associated loss of ecosystem services including reductions in primary productivity, carbon storage capacity, resilience to other environmental stressors, their efficiency as estuarine filters, and biodiversity and abundance of subsistence use of marine species. Soil damage and infrastructure remaining after shrimp pond deactivation impairs mangrove recovery. This extends the duration of the damage and allows the occupation of degraded areas by other activities that can permanently impair ecosystem function. In this review, we address several aspects of the shrimp culture boom in NE Brazilian, their features and consequences, and the future of mangroves in the region considering climate change and rising poverty. Our conclusions on the practices and outcomes of shrimp farming in mangroves are likely to apply to areas with similar environmental settings, e.g., semiarid regions worldwide, and particularly in the Latin America and Caribbean region, and our findings can be taken into account to improve conservation and management of these forests at the least to a regional scale. © 2021 de Lacerda, Ward, Godoy, de Andrade Meireles, Borges and Ferreira.",10.3389/ffgc.2021.653096,2021,de Lacerda L.D.; Ward R.D.; Godoy M.D.P.; Meireles A.J.A.; Borges R.; Ferreira A.C.,Scopus,Review,NA,2-s2.0-85105560132,Scopus,1,review,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
WoS,english,"A MODIS-based scalable remote sensing method to estimate sowing and; harvest dates of soybean crops in Mato Grosso, Brazil","Large-scale agriculture in the state of Mato Grosso, Brazil is a major contributor to global food supplies, but its continued productivity is vulnerable to contracting wet seasons and increased exposure to extreme temperatures. Sowing dates serve as an effective adaptation strategy to these climate perturbations. By controlling the weather experienced by crops and influencing the number of successive crops that can be grown in a year, sowing dates can impact both individual crop yields and cropping intensities. Unfortunately, the spatiotemporally resolved crop phenology data necessary to understand sowing dates and their relationship to crop yield are only available over limited years and regions. To fill this data gap, we produce a 500 m rainfed soy (Glycine max) sowing and harvest date dataset for Mato Grosso from 2004 to 2014 using a novel time series analysis method for Moderate Resolution Imaging Spectroradiometer (MODIS) satellite imagery, adapted for implementation in Google Earth Engine (GEE). Our estimates reveal that soy sowing and harvest dates varied widely (about 2 months) from field to field, confirming the need for spatially resolved crop timing information. An interannual trend toward earlier sowing dates occurred independently of variations in wet season onset, and may be attributed to an improvement in logistic or economic constraints that previously hampered early sowing. As anticipated, double cropped fields in which two crops are grown in succession are planted earlier than single cropped fields. This difference shrank, however, as sowing of single cropped fields occurred closer to the wet season onset in more recent years. The analysis offers insights about sowing behavior in response to historical climate variations which could be extended to understand sowing response under climate change in Mato Grosso.",10.1016/j.heliyon.2021.e07436,2021,"Zhang, MH; Abrahao, G; Cohn, A; Campolo, J; Thompson, S",HELIYON,Article,NA,WOS:000687265300012,WoS,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,"A Systems Approach to Ecotourism, Leisure and Education in Panamá: A Case Study","Batipa Field Institute (BFI) is the 2000 ha multifunctional farm of Oteima Technological University (OTU), which is nestled within the forested hills of the Batipa peninsula in Chiriquí, the western province of Panamá. Since 2014, BFI has been striving to become a hub and a destination for ecotourism in the country. The purpose of this work was two-fold: (1) Demonstrate how a coexistence of farming and habitat preservation in a tropical environment benefits agriculture and makes the latter resilient to the challenges posed by global climate change, and (2) Present the experience gained by Oteima Technological University and Batipa Field Institute in serving students to develop knowledge, skills and values about stewardship and conservation through residential, study experiences at the farm. The first objective considered how biodiversity benefitted cattle raising and teak tree (Tectona grandis) cultivation, whereas the second objective evaluated how the ecotourism programs designed by Oteima Technological University (OTU) at BFI can integrate farming with ecology, leisure and sustainable living, and thus contribute to transformative learning. Leisure and ecological learning are embedded in the education philosophy at OTU, whereas BFI remains the ‘ad-hoc’ site for enhancing an understanding of sustainability among students, while strengthening teamwork and community living, in a distinctive, tropical agroecosystem. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.",10.1007/978-3-030-59820-4_17,2021,Borsari B.; Garrido F.U.; González E.,Scopus,Book chapter,NA,2-s2.0-85101144357,Scopus,1,other,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,A Transdisciplinary Framework for AI-driven Disaster Risk Reduction for Low-income Housing Communities in Kenya,"In the past 50 years, natural disasters worldwide have accounted for 2.06 million deaths and US$3640 billion in economic losses. These natural disasters are heavily influenced by the composite earth system processes and human interactions. In this paper, we focus our investigation to assess the impact of flooding in rivers and coastal regions and its impact on low-income communities. For this purpose, a transdisciplinary perspective from Artificial Intelligence (AI), Climate science, Socio-economics discipline is leveraged to map and identify their inter-relationships and challenges using Soft System Methodology (SSM). A transdisciplinary framework, named ADRELO1 Disaster Support System (ADSS), is therefore proposed to (1) identify the key parameters that can influence climate change, (2) stitch together a reusable multilayered transdisciplinary knowledge model, and (3) apply the observed multivariant data to AI-based algorithm to forecast climate change, analyze the impact of climate change on socio-economic outcomes and suggest potential disaster risk reduction actions. Research-based outcomes, from the given framework, will be used for policy prescription towards making flood-affected local communities self-resilient. ADSS will be applied first in a flood-prone region, such as Nyando in Kenya and Mozambique. It will then be extrapolated in other coastal regions of Florida and North-eastern Brazil to examine the applicability of the framework.  © 2021 IEEE.",10.1109/smc52423.2021.9658957,2021,Triboan D.; Obonyo E.A.; Ayesh A.; Yerima S.Y.; Basak B.; Wang'Ombe W.; Olago D.; Olaka L.A.; Sznajder K.K.; Madivate C.,Scopus,Conference paper,NA,2-s2.0-85124253737,Scopus,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
WoS,english,A multi-taxonomic framework for assessing relative petrochemical; vulnerability of marine biodiversity in the Gulf of Mexico,"A fundamental understanding of the impact of petrochemicals and other stressors on marine biodiversity is critical for effective management, restoration, recovery, and mitigation initiatives. As species-specific information on levels of petrochemical exposure and toxicological response are lacking for the majority of marine species, a trait-based assessment to rank species vulnerabilities to petrochemical activities in the Gulf of Mexico can provide a more comprehensive and effective means to prioritize species, habitats, and ecosystems for improved management, restoration and recovery. To initiate and standardize this process, we developed a trait-based framework, applicable to a wide range of vertebrate and invertebrate species, that can be used to rank relative population vulnerabilities of species to petrochemical activities in the Gulf of Mexico. Through expert consultation, 18 traits related to likelihood of exposure, individual sensitivity, and population resilience were identified and defined. The resulting multi-taxonomic petrochemical vulnerability framework can be adapted and applied to a wide variety of species groups and geographic regions. Additional recommendations and guidance on the application of the framework to rank species vulnerabilities under specific petrochemical exposure scenarios, management needs or data limitations are also discussed. (C) 2020 Elsevier B.V. All rights reserved.",10.1016/j.scitotenv.2020.142986,2021,"Polidoro, B; Matson, CW; Ottinger, MA; Renegar, DA; Romero, IC; Schlenk, D; Wise, JP; González, JB; Bruns, P; Carpenter, K; Rojas, DC; Collier, TK; Duda, TF; González-Díaz, P; Di Giulio, R; Grubbs, RD; Haney, JC; Incardona, JP; Horta-Puga, G; Linardich, C; Moore, JA; Pech, D; Valderrama, SP; Ralph, GM; Strongin, K; Ringwood, AH; Würsig, B",SCIENCE OF THE TOTAL ENVIRONMENT,Article,NA,WOS:000608188700049,WoS,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
WoS,english,Aboveground biomass in secondary montane forests in Peru: Slow carbon; recovery in agroforestry legacies,"Andean tropical montane forests (TMF) are hotspots of biodiversity that provide fundamental hydrological services as well as carbon sequestration and storage. Agroforestry systems occupy large areas in the Andes but climatic pressures, market volatility and diseases may result inagroforest abandonment, promoting secondary succession. Secondary forests are well-adapted and efficient carbon sinks whose conservation is vital to mitigate and adapt to climate change and to support biodiversity. Little is known, however, about how secondary TMF recover their aboveground biomass (AGB) and composition after abandonment. We established a 1.5 ha plot at 1780 masl on a 30-year old abandoned agroforest and compared it against two control forest plots at similar elevations. Agroforestry legacies influenced AGB leading to far lower stocks (42.3 +/- 5.4-59.6 +/- 7.9 Mg ha(-1) using allometric equations) than those expected after 30 years (106 +/- 33 Mg ha(-1)) based on IPCC standard growth rates for secondary montane forests. This suggests a regional overestimation of mitigation potentials when using IPCC standards. Satellite-derived AGB largely overestimated our plot values (179 +/- 27.3 Mg ha(-1)). Secondary growth rates (1.41-2.0 Mg ha(-1) yr(-1) for DBH >= 10 cm) indicate recovery times of ca. 69 to 97 years to reach average control AGB values (137 +/- 12.3 Mg ha(-1)). This is 26 years above the average residence time of montane forests at our elevation (71 +/- 1.91 years) suggesting a non-recovery or far slower recovery to control AGB values. Three variables appear to define this outcome compared to the control plots: lower DBH (15.8 +/- 5.9 cm vs 19.8 +/- 11.0 cm), lower basal area (12.67 +/- 0.7 vs 28.03 +/- 1.5 m(2) ha(-1)) and higher abundance of lighter-wood tree genera (0.46 +/- 0.10 vs 0.57 +/- 0.11 gr cm(3)) such as Inga, a common shade-tree in Andean agroforests. With 3.2 million hectares committed to restoration, Peru needs to target currently neglected TMF recovery schemes to support biodiversity, water and carbon storage and fulfill its international commitments.",10.1016/j.gecco.2021.e01696,2021,"Aragón, S; Salinas, N; Nina-Quispe, A; Qquellon, VH; Paucar, GR; Huaman, W; Porroa, PC; Olarte, JC; Cruz, R; Muñiz, JG; Yupayccana, CS; Espinoza, TEB; Tito, R; Cosio, EG; Roman-Cuesta, RM",GLOBAL ECOLOGY AND CONSERVATION,Article,NA,WOS:000684802500009,Scopus; WoS,2,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,Administering Agroforestry At The District Level,"India is the first country to have adopted a national level policy on agroforestry in 2014. Now other countries like Nepal and Mexico are following a similar approach1,1. It is needless to highlight the positive aspects of agroforestry in terms of biodiversity conservation, carbon sequestration, soil and water conservation, nutrient recycling and importantly, as a tool against climate change adaptation and mitigation while also ensuring food and nutritional security. According to the India State of Forest Report (2013)3, 11.15 hectare (m ha) of land is under agroforestry, while ICAR-Central Agroforestry Research Institute (CAFRI), Jhansi reported 13.75 m ha in 2013 (ref. 3). The estimate on agroforestry area by the Forest Survey of India (FSI), Dehradun did not take into account allied agroforestry practices such as block plantations. Moreover, its estimates were based on 14 physiographic zones of India whereas estimates of the CAFRI were for 15 agro-climatic zones of the country. CAFRI further recorded 23.37 m ha in 2019 and 26.33 m ha at present4. Meanwhile, another study showed that about 11.5– 25.3 m ha area is suitable for agroforestry in India5. © 2021,Current Science.All Rights Reserved",NA,2021,Arunachalam A.; Ramanan S.S.; Handa A.K.,Scopus,Article,NA,2-s2.0-85113898657,Scopus,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,Agricultural land use dynamics in the Brazilian part of La Plata Basin: From driving forces to societal responses,"This paper provides an analysis of the land use dynamics observed in the Brazilian part of La Plata Basin (BR-LPB) from 1988 to 2018, including major crops such as maize, soybean, wheat, and sugarcane. It also assesses the perception of farmers and other stakeholders on climate change effects and the design of adaptation strategies. Two case studies were carried out and the DPSIR (Driver-Pressure-State-Impact-Response) conceptual framework was used to structure the complex relationships driving current land use dynamics in BR-LPB. The first case was an assessment of land use change based on the cultivated area of annual and semi-perennial crops over the whole BR-LPB, using macro-spatial data from 1988 to 2018. The second case consisted of a survey carried out in the municipality of Anchieta to assess at local level if land use change has been driven by the perception of farmers on climate change and its effects. When contrasted with changes on average annual temperature and precipitation for the same time period, the results show that land use dynamics in the BR-LPB as a whole was mostly driven by an increased global demand for food commodities rather than by climate effects, whereas at local level the perception of farmers on climate change effects has already influenced the adoption of adaptation strategies. No evidences were found that climate dynamics has significantly influenced the geography of agricultural land use in the BR-LPB in this period. While using the DPSIR framework, the results of both case studies highlight important inter-relationships allowing a comprehensive overview on how land use change in the BR-LPB is related to some major drivers (e.g. population growth, growing demand of agricultural products, and droughts) and how they might influence the design of purposeful adaptation responses and policy making. © 2021 Elsevier Ltd",10.1016/j.landusepol.2021.105519,2021,Schlindwein S.L.; Feitosa de Vasconcelos A.C.; Bonatti M.; Sieber S.; Strapasson A.; Lana M.,Scopus,Article,NA,2-s2.0-85105508014,Scopus,1,research_paper,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No country match in title/abstract
WoS,english,"Agroforestry transitions: The good, the bad and the ugly","This article canvasses the current definitions and framings of ?agroforestry? in different academic literature and policies. Three key framings of ?agroforestry? are identified in the scholarship and explored for their differences. The findings suggest that the distinct schools of research on ?agroforestry? focus on distinct points of departure, and these baseline situations from which transitions to what is called ?agroforestry? occur vary in distinct ways from monoculture plantations to primary forests. Political-economic analysis is used to scrutinize three key ?agroforestry? transition categories: agroecological, agribusiness, and forest degradation, which the article identifies as agroecoforestry (the good), agrobizforestry (the bad), and agrodeforestry (the ugly) transitions, respectively. Examples of each type are provided based on field research in Brazil, and the results are put into a global perspective. The categories are helpful in identifying the ?agroforestry? transitions that are currently marketed as good solutions but might also have negative impacts and in highlighting the agroecological agroforestry transitions that would help simultaneously increase global food production, adapt to and mitigate the climate crisis, and achieve equity and social justice.",10.1016/j.jrurstud.2021.01.016,2021,"Ollinaho, OI; Kröger, M",JOURNAL OF RURAL STUDIES,Article,NA,WOS:000631781400008,WoS,1,research_paper,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,No concept match in title/abstract
Scopus,english,An Integrated Framework to Streamline Resilience in the Context of Urban Climate Risk Assessment,"Cities are increasingly acknowledged as crucial when facing climate change—and the environmental crisis more in general—, offering challenges and opportunities in terms of both mitigation and adaptation. Climate change-sensitive urban governance requires proactive, integrated, and contextualized approaches, making room for the complex, multilayered, multiscalar, and dynamic processes constituting a city. The notion of “resilience” has been acquiring growing recognition as a flexible and powerful concept to respond to these challenges. Resilience itself, however, is also a polysemic notion, often treated as little more than a catchword or a wishful aim or superimposed with other climate-related terms, such as risk, vulnerability, or adaptation. To promote a stronger integration among different problem-settings and epistemic communities, this paper advances six analytical distinctions aiming to provide structure and articulation to existing definitions of the concept of “resilience.” Likewise, it offers an integrated analytical framework and methodological pipeline to streamline resilience analysis in the context of urban climate risk assessment. The framework is specially defined to link up with the definition of climate risk provided by the Intergovernmental Panel on Climate Change (IPCC) latest Assessment Reports and is illustrated through examples derived from the recent experience of the Chilean Climate Risk Atlas. © 2021. The Authors. Earth's Future published by Wiley Periodicals LLC on behalf of American Geophysical Union.",10.1029/2020ef001508,2021,Urquiza A.; Amigo C.; Billi M.; Calvo R.; Gallardo L.; Neira C.I.; Rojas M.,Scopus,Article,NA,2-s2.0-85115748053,Scopus,1,research_paper,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,No country match in title/abstract
